ch1,ch2,expected,event_label,pair,band,fmin,fmax,coh,imcoh,plv,pli,wpli
Fp2,POLY3,eeg_neck_emg,Глаза закрыты,Fp2-POLY3,high_beta,20.0,30.0,0.1226779358315402,0.01485117299785012,0.12170857200719545,0.10238429172510519,0.16185527752003934
Fp2,POLY3,eeg_neck_emg,Глаза закрыты,Fp2-POLY3,low_gamma,30.0,45.0,0.10107139357388065,0.01341234709586802,0.10947237212657497,0.09703843730308759,0.13704727558210952
Fp2,POLY4,eeg_neck_emg,Глаза закрыты,Fp2-POLY4,delta,1.0,4.0,0.15093259688326383,0.05365944391215064,0.09074964915662144,0.08115942028985507,0.21782236924528742
Fp2,POLY4,eeg_neck_emg,Глаза закрыты,Fp2-POLY4,theta,4.0,8.0,0.10511059657850945,-0.02989538582351017,0.10967786185586124,0.08584169453734672,0.1408251434121957
Fp2,POLY4,eeg_neck_emg,Глаза закрыты,Fp2-POLY4,alpha,8.0,13.0,0.09823546977923334,0.03907173760636888,0.10967778541834075,0.08333333333333333,0.13750382638811454
Fp2,POLY4,eeg_neck_emg,Глаза закрыты,Fp2-POLY4,beta,13.0,30.0,0.10431906136128105,0.012419935954712785,0.0994678210763745,0.09085841694537347,0.1282191183265438
Fp2,POLY4,eeg_neck_emg,Глаза закрыты,Fp2-POLY4,high_beta,20.0,30.0,0.10910069391620966,0.007780298045332581,0.10013311653333985,0.09396914446002805,0.13591835584805248
Fp2,POLY4,eeg_neck_emg,Глаза закрыты,Fp2-POLY4,low_gamma,30.0,45.0,0.100392816403496,0.019620115750246712,0.10150847530719789,0.08128544423440456,0.13260036847969628
O1,POLY3,eeg_neck_emg,Глаза закрыты,O1-POLY3,delta,1.0,4.0,0.1541254381187553,0.07483906948876953,0.1239223787992538,0.136231884057971,0.24600786428574262
O1,POLY3,eeg_neck_emg,Глаза закрыты,O1-POLY3,theta,4.0,8.0,0.11771183847776491,0.026512474456738783,0.10109665695827676,0.09921962095875139,0.1832568515864743
O1,POLY3,eeg_neck_emg,Глаза закрыты,O1-POLY3,alpha,8.0,13.0,0.09646632210243307,-0.018323541173265838,0.08970665595834218,0.09239130434782607,0.1383695946022506
O1,POLY3,eeg_neck_emg,Глаза закрыты,O1-POLY3,beta,13.0,30.0,0.10315136076964208,0.017101450861810405,0.09830441098995632,0.09810479375696769,0.12422349831497147
O1,POLY3,eeg_neck_emg,Глаза закрыты,O1-POLY3,high_beta,20.0,30.0,0.0948096553773362,0.006267032775046621,0.10496812974246374,0.10612435717625061,0.10957758288560558
O1,POLY3,eeg_neck_emg,Глаза закрыты,O1-POLY3,low_gamma,30.0,45.0,0.11339911405586936,-0.003294850561184262,0.11405509234727818,0.10333963453056079,0.14631986698039148
O1,POLY4,eeg_neck_emg,Глаза закрыты,O1-POLY4,delta,1.0,4.0,0.12926001583720537,0.04881863791980379,0.13070851899459837,0.10724637681159419,0.19743891470342873
O1,POLY4,eeg_neck_emg,Глаза закрыты,O1-POLY4,theta,4.0,8.0,0.13434557895754579,0.03700716723201853,0.10855274783701986,0.0947603121516165,0.19842345910867315
