file,event,event_group,window_start_sec,window_end_sec,left_group,right_group,comparison,left_channel,right_channel,pair,relation_type,time_corr_r,abs_time_corr_r,max_lag_corr_r,abs_max_lag_corr_r,best_lag_sec,delta_coherence,delta_imag_coherence,delta_plv,delta_pli,delta_wpli,theta_coherence,theta_imag_coherence,theta_plv,theta_pli,theta_wpli,alpha_coherence,alpha_imag_coherence,alpha_plv,alpha_pli,alpha_wpli,beta1_coherence,beta1_imag_coherence,beta1_plv,beta1_pli,beta1_wpli,beta2_emg_sensitive_coherence,beta2_emg_sensitive_imag_coherence,beta2_emg_sensitive_plv,beta2_emg_sensitive_pli,beta2_emg_sensitive_wpli,poly_artifact_score,poly_rms,poly_line_length,poly_hf_ratio_20_30,poly_artifact_flag,artifact_weight
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,123.0,127.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.5350431899592617,0.5350431899592617,0.5396902162700458,0.5396902162700458,0.0078125,0.568972115537394,0.3361160399934467,,,,0.6887129615899887,0.30346793666228694,,,,0.46889305219286753,0.452293102228942,0.35492491403696586,0.28515625,0.37659990816575134,0.5452319146061838,0.3118301480488439,,,,0.38876121254817114,0.2709419387960051,0.18918038002347415,0.1484375,0.2340606746738204,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,123.0,127.0,left_motor_eeg,right_motor_eeg,left_motor_eeg__vs__right_motor_eeg,C3,C4,C3-C4,EEG_EEG_CONNECTIVITY,0.6195367108858851,0.6195367108858851,0.6329847637903582,0.6329847637903582,-0.0078125,0.7485003136831442,0.2956424853725558,,,,0.635314776627479,0.39225152340414426,,,,0.5051981035482938,0.19195839780391216,0.3912084813273606,0.0625,0.11169975149760543,0.7797864194069744,0.16887553451843756,,,,0.5578549366011503,0.33690882993055377,0.7752987226892676,0.07421875,0.5022009575122274,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,123.0,127.0,left_occipital_eeg,right_occipital_eeg,left_occipital_eeg__vs__right_occipital_eeg,O1,O2,O1-O2,EEG_EEG_CONNECTIVITY,0.4012764805418447,0.4012764805418447,0.41131758639230126,0.41131758639230126,-0.0078125,0.45733916981910516,0.20289717717039393,,,,0.5344076301843101,0.3927864315807627,,,,0.5455183564259831,0.306754965127026,0.26552100175768484,0.12890625,0.06382149986927561,0.6000864748881928,0.25394618400567526,,,,0.6220939911544553,0.32884318389730793,0.49441258528027787,0.140625,0.35253008252362455,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,124.0,128.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.6011349662944215,0.6011349662944215,0.6063323731164802,0.6063323731164802,0.0078125,0.6935780250699956,0.2185810985352172,,,,0.6262037649261585,0.19424142737942718,,,,0.5013195129328956,0.44478465537331624,0.3652643964922303,0.1875,0.27981245685977935,0.34001411341392657,0.25557993628492043,,,,0.39874186191541644,0.31826695913022746,0.12100690818728087,0.12109375,0.2515141163653313,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,124.0,128.0,left_motor_eeg,right_motor_eeg,left_motor_eeg__vs__right_motor_eeg,C3,C4,C3-C4,EEG_EEG_CONNECTIVITY,0.4829298288324566,0.4829298288324566,0.5111094427722438,0.5111094427722438,-0.015625,0.5514103239244975,0.2955245436610426,,,,0.6066670552813548,0.38172530972726704,,,,0.6552698213518304,0.3014093948436425,0.45798065146283135,0.19140625,0.3991384470122075,0.6141555256107364,0.23272888471574227,,,,0.6547284592547775,0.27361526364120353,0.7605398317355913,0.18359375,0.5766914234959896,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,124.0,128.0,left_occipital_eeg,right_occipital_eeg,left_occipital_eeg__vs__right_occipital_eeg,O1,O2,O1-O2,EEG_EEG_CONNECTIVITY,0.42043767610352745,0.42043767610352745,0.45875689392856894,0.45875689392856894,-0.015625,0.490577523814163,0.3270866975045504,,,,0.38771865147451606,0.37248511386348027,,,,0.5582204314731065,0.2743516509302848,0.41234908664131603,0.21484375,0.293747349885377,0.5307702347179734,0.27460455942440004,,,,0.6534102188783306,0.3085785185998654,0.4960359439681782,0.10546875,0.2787427564597592,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,125.0,129.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.8176395651460904,0.8176395651460904,0.8234330766810493,0.8234330766810493,0.0078125,0.7223005754086204,0.17480462614530115,,,,0.5025051802062266,0.2617798613623025,,,,0.5286678167997586,0.424923071884724,0.4147091272494143,0.3515625,0.6004000925446781,0.3001269090281932,0.3458284465294362,,,,0.4090122744099632,0.3776474968340142,0.13589001549835458,0.0,0.021200169704364422,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,125.0,129.0,left_motor_eeg,right_motor_eeg,left_motor_eeg__vs__right_motor_eeg,C3,C4,C3-C4,EEG_EEG_CONNECTIVITY,0.5130062058185375,0.5130062058185375,0.5296669215008902,0.5296669215008902,-0.0078125,0.3340131722532047,0.24328915106550517,,,,0.7708807553397022,0.4278512924412569,,,,0.5056866853388587,0.32074922230994446,0.39398551556779116,0.20703125,0.5615875199833548,0.605938797798112,0.20277205720217886,,,,0.6042882860591914,0.29282347438219947,0.7275065427645132,0.20703125,0.23021848909240597,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,125.0,129.0,left_occipital_eeg,right_occipital_eeg,left_occipital_eeg__vs__right_occipital_eeg,O1,O2,O1-O2,EEG_EEG_CONNECTIVITY,0.516655075859143,0.516655075859143,0.556134133438571,0.556134133438571,-0.015625,0.49111394167405065,0.2700004155172317,,,,0.4990723359118823,0.48089326854766706,,,,0.5508688509749771,0.3145917761726259,0.37345770476770057,0.28125,0.27370667310399455,0.4814198933986873,0.2661574566805623,,,,0.6300240927756471,0.2333902510783635,0.5296557640083916,0.03515625,0.004041777236839089,0.0,,,,False,1.0
kaggle_s01_MULTI_EEG_CONTROL.csv,Kaggle Complete EEG Dataset s01 MULTI_EEG_CONTROL,kaggle_external,126.0,130.0,left_frontal_eeg,right_frontal_eeg,left_frontal_eeg__vs__right_frontal_eeg,Fp1,Fp2,Fp1-Fp2,EEG_EEG_CONNECTIVITY,0.8479081851227246,0.8479081851227246,0.8504447977347723,0.8504447977347723,0.0078125,0.7895416542099905,0.18266280696676573,,,,0.5550663049743179,0.2523731245262246,,,,0.599487278146629,0.4208945265225976,0.4684586241149844,0.0625,0.3501115100092031,0.2071743186494126,0.2702108313202814,,,,0.339732227304727,0.27753951689470724,0.1166680205090732,0.01171875,0.3491882803373181,0.0,,,,False,1.0
